Event Id,Event Date,Location,Country,Aircraft Category,Make,Model,Number of Engines,Engine Type,Injury Severity,Aircraft Damage,Purpose of Flight,Weather Condition,Broad Phase of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured
20200104X82940,01/04/2020,"Mullin, TX",United States,Airplane,Aero Commander,100,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,APPROACH,,,,2.0
20200102X82407,12/31/2019,"Elk, CA",United States,Airplane,Cessna,175,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,TAKEOFF,,,,1.0
20191231X83852,12/31/2019,"OLATHE, KS",United States,Airplane,Mooney,M20S,1.0,Reciprocating,Fatal(2),Destroyed,Personal,VMC,TAKEOFF,2.0,,,
20191221X83621,12/21/2019,"Evansville, IN",United States,Airplane,Piper,PA28,1.0,Reciprocating,Fatal(1),Destroyed,Personal,,APPROACH,1.0,,,
20191219X84114,12/19/2019,"Beeville, TX",United States,Helicopter,Robinson,R22,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,TAKEOFF,,,,1.0
20191218X74518,12/18/2019,"Caldwell, ID",United States,Airplane,Piper,PA22,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,,,,,1.0
20191224X43854,12/18/2019,"Harrison, OH",United States,Airplane,Cessna,172,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,LANDING,,,,2.0
20191213X05304,12/12/2019,"Carlsbad, CA",United States,Airplane,Cessna,182,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,CRUISE,,,,2.0
20191211X12602,12/11/2019,"Phoenix, AZ",United States,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,APPROACH,,,,2.0
20191209X51617,12/08/2019,"Willow Springs, MO",United States,Airplane,Zenith,ZODIAC CH-650,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,TAKEOFF,,,1.0,
20191213X42028,12/08/2019,"Flower Pot, AZ",United States,Airplane,Mooney,M20C,1.0,Reciprocating,Fatal(1),Destroyed,Personal,UNK,,1.0,,,
20191207X83916,12/07/2019,"Omaha, NE",United States,Gyroplane,Rotary,RAF 2000,,Reciprocating,Non-Fatal,Substantial,Personal,VMC,LANDING,,1.0,,
20191209X03550,12/06/2019,"Spring Branch, TX",United States,Airplane,Beech,36,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,TAKEOFF,,,,5.0
20191205X42835,12/04/2019,"Baldwin City, KS",United States,Airplane,Luscombe,8A,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,TAKEOFF,,,,2.0
20191204X13949,12/03/2019,"Nephi, UT",United States,Airplane,JAVRON,PA-18 Replica,,Reciprocating,Non-Fatal,Substantial,Personal,VMC,LANDING,,,,2.0
20191204X11047,12/03/2019,"Potts Camp, MS",United States,Airplane,Cessna,172,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,CRUISE,,1.0,,
20191202X50119,12/02/2019,"Vero Beach, FL",United States,Airplane,Piper,PA28,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,APPROACH,,,,1.0
20191202X00729,12/01/2019,"Union City, TN",United States,Airplane,Cirrus,SR22,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,LANDING,,,,2.0
20191201X05432,12/01/2019,"San Antonio, TX",United States,Airplane,Piper,PA24,1.0,Reciprocating,Fatal(3),Substantial,Instructional,VMC,APPROACH,3.0,,,
20191201X92833,11/30/2019,"Wrightsville, GA",United States,Airplane,Yakovlev,YAK 52,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,CRUISE,,,2.0,
20191202X84853,11/27/2019,"Kingston, Canada",Canada,Airplane,Piper,PA32,1.0,Reciprocating,Fatal(7),,Personal,,,7.0,,,
20191127X61744,11/26/2019,"North Las Vegas, NV",United States,Airplane,CIRRUS,SR-22,,Reciprocating,Fatal(3),Destroyed,Personal,VMC,,3.0,,,
20191126X21659,11/25/2019,"Blythe, CA",United States,Airplane,Beech,V35,1.0,Reciprocating,Fatal(1),Destroyed,Personal,,CRUISE,1.0,,,
20191124X11831,11/24/2019,"Milton, FL",United States,Airplane,Bushby,BUSHBY MUSTANG M II,1.0,Reciprocating,Fatal(1),Substantial,Personal,VMC,TAKEOFF,1.0,,,
20191123X03127,11/23/2019,"Simsbury, CT",United States,Airplane,Piper,PA28,1.0,Reciprocating,Non-Fatal,Substantial,Instructional,VMC,LANDING,,,1.0,1.0
20191123X40229,11/23/2019,"Okeechobee, FL",United States,Airplane,Beech,E35,1.0,Reciprocating,Non-Fatal,Destroyed,Personal,VMC,TAKEOFF,,1.0,2.0,
20191125X94802,11/22/2019,"Jackpot, NV",United States,Airplane,Grumman,AA5,1.0,Reciprocating,Fatal(2),Destroyed,Personal,VMC,TAKEOFF,2.0,,,
20191125X81910,11/22/2019,"Tyler, TX",United States,Airplane,Cirrus,SR22,1.0,Reciprocating,Non-Fatal,Substantial,Personal,IMC,CRUISE,,1.0,,1.0
20191120X01106,11/20/2019,"San Marcos, TX",United States,Airplane,RAYTHEON,A36,1.0,Reciprocating,Fatal(1),Destroyed,Business,IMC,TAKEOFF,1.0,,,
20191121X85648,11/19/2019,"Brogue, PA",United States,Airplane,Luscombe,8,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,APPROACH,,,1.0,
20191118X94020,11/18/2019,"College Park, MD",United States,Airplane,Mooney,M20M,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,,,,,1.0
20191117X11447,11/16/2019,"Livermore, CA",United States,Airplane,Piper,PA 18,1.0,Reciprocating,Non-Fatal,Substantial,Banner Tow,VMC,MANEUVERING,,,,1.0
20191117X13706,11/16/2019,"Heber City, UT",United States,Airplane,North American,SNJ-4,,Reciprocating,Non-Fatal,Substantial,Aerial Observation,VMC,LANDING,,,,2.0
20191118X02529,11/15/2019,"West Liberty, KY",United States,Airplane,Rans,RANS S7 COURIER,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,DESCENT,,,,1.0
20191120X60315,11/14/2019,"Erwin, NC",United States,Airplane,Fisher,FP 202 KOALA,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,TAKEOFF,,,,1.0
20191113X90121,11/13/2019,"Red Rock, AZ",United States,Airplane,Cessna,150,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,CLIMB,,,,1.0
20191116X51416,11/11/2019,"Metaline, WA",United States,Airplane,Cessna,182,1.0,Reciprocating,Fatal(1),,Personal,VMC,CRUISE,1.0,,,
20191112X40210,11/11/2019,"Fitzgerald, GA",United States,Airplane,SYMPHONY AIRCRAFT IND INC,SA,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,TAXI,,,,1.0
20191111X84900,11/10/2019,"St. Augustine, FL",United States,Airplane,Mooney,M20J,1.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,APPROACH,,1.0,1.0,
20191111X71326,11/10/2019,"Goodnews Bay, AK",United States,Airplane,Piper,PA32R,1.0,Reciprocating,Non-Fatal,Substantial,Other Work Use,VMC,TAKEOFF,,,,2.0
20191109X11440,11/09/2019,"Broomfield, CO",United States,Airplane,Beech,55,2.0,Reciprocating,Non-Fatal,Substantial,Personal,VMC,LANDING,,,,2.0
