cycle,true_fault_class,true_fault_name,true_RUL,cht_1_c,cht_1_twin,oil_temp_c,oil_temp_twin,vibration_rms_g,predicted_fault_class,predicted_fault_name,fault_confidence,predicted_RUL,mission_reliability_pct
1,0,healthy,125,119.0,118.8,92.9,92.2,0.08,0,healthy,0.904,122.9,100.0
2,0,healthy,125,118.3,118.4,92.5,92.1,0.097,0,healthy,0.887,121.8,100.0
3,0,healthy,125,115.2,115.3,92.4,91.7,0.084,0,healthy,0.993,124.5,100.0
4,0,healthy,125,115.9,113.9,91.9,91.5,0.083,0,healthy,0.991,124.2,100.0
5,0,healthy,125,114.6,114.6,92.4,91.7,0.097,0,healthy,0.992,124.3,100.0
6,0,healthy,125,112.4,113.5,91.2,91.5,0.088,0,healthy,0.987,124.6,100.0
7,0,healthy,125,114.3,114.7,90.9,91.8,0.095,0,healthy,0.993,125.0,100.0
8,0,healthy,125,114.5,112.4,91.3,91.4,0.107,0,healthy,0.934,123.6,100.0
9,0,healthy,125,111.4,112.2,89.9,91.5,0.081,0,healthy,0.991,125.1,100.0
10,0,healthy,125,109.3,110.8,89.9,91.3,0.089,0,healthy,0.991,124.9,100.0
11,0,healthy,125,109.4,111.3,91.5,91.4,0.083,0,healthy,0.991,124.6,100.0
12,0,healthy,125,107.5,108.0,91.9,90.9,0.101,0,healthy,0.995,125.0,100.0
13,0,healthy,125,107.9,108.0,92.6,90.9,0.086,0,healthy,0.986,125.6,100.0
14,0,healthy,125,107.9,105.7,91.4,90.6,0.105,0,healthy,0.986,126.2,100.0
15,0,healthy,125,106.6,107.1,92.5,90.9,0.084,0,healthy,0.992,125.4,100.0
16,0,healthy,125,106.4,106.6,89.5,90.9,0.103,0,healthy,0.992,125.6,100.0
17,0,healthy,125,103.8,105.5,92.2,90.7,0.087,0,healthy,0.991,125.7,100.0
18,0,healthy,125,102.7,103.8,90.3,90.5,0.096,0,healthy,0.992,125.6,100.0
19,0,healthy,125,104.5,101.8,91.4,90.1,0.083,0,healthy,0.974,125.4,100.0
20,0,healthy,125,101.0,102.3,89.2,90.3,0.105,0,healthy,0.986,124.5,100.0
21,0,healthy,125,98.6,101.0,88.9,90.1,0.11,0,healthy,0.978,124.5,100.0
22,0,healthy,125,100.7,101.6,89.6,90.2,0.108,0,healthy,0.986,124.6,100.0
23,0,healthy,125,98.3,99.7,91.6,89.9,0.098,0,healthy,0.981,124.1,100.0
24,0,healthy,125,98.5,98.9,89.6,89.8,0.086,0,healthy,0.988,124.8,100.0
25,0,healthy,125,100.2,100.3,90.2,90.2,0.091,0,healthy,0.993,124.4,100.0
26,0,healthy,125,98.5,98.4,90.1,89.9,0.081,0,healthy,0.992,125.0,100.0
27,0,healthy,125,97.2,97.9,90.7,89.8,0.098,0,healthy,0.991,125.3,100.0
28,0,healthy,125,92.5,95.9,88.6,89.5,0.089,0,healthy,0.993,124.4,100.0
29,0,healthy,125,95.8,94.7,89.2,89.3,0.092,0,healthy,0.995,125.2,100.0
30,0,healthy,125,97.0,95.7,90.6,89.5,0.09,0,healthy,0.994,125.2,100.0
31,0,healthy,125,95.6,95.3,89.9,89.5,0.11,0,healthy,0.99,124.4,100.0
32,0,healthy,125,93.1,92.4,87.6,89.0,0.087,0,healthy,0.992,124.5,100.0
